date,open,high,low,close,adj close,volume,rsi
2021-03-11,5024.56005859375,5138.41015625,5020.580078125,5128.22021484375,5128.22021484375,189600,48.946756938464986
2021-03-12,5153.669921875,5153.669921875,5086.81982421875,5146.3798828125,5146.3798828125,201000,48.946756938464986
2021-03-15,5116.1201171875,5120.8798828125,4992.39990234375,5035.5400390625,5035.5400390625,204200,48.946756938464986
2021-03-16,5054.41015625,5084.31005859375,5009.9501953125,5079.35986328125,5079.35986328125,161400,48.946756938464986
2021-03-17,5062.77001953125,5123.5498046875,5020.1298828125,5100.85986328125,5100.85986328125,149200,48.946756938464986
2021-03-18,5114.58984375,5160.4599609375,5111.1298828125,5141.77001953125,5141.77001953125,142900,48.946756938464986
2021-03-19,5068.52978515625,5089.919921875,4980.759765625,5007.08984375,5007.08984375,164200,48.946756938464986
2021-03-22,5008.39990234375,5071.33984375,4996.5400390625,5057.14990234375,5057.14990234375,167400,48.946756938464986
2021-03-23,5057.06005859375,5064.02001953125,4966.52978515625,5009.25,5009.25,158000,48.946756938464986
2021-03-24,4985.39990234375,5024.330078125,4919.89013671875,4928.68994140625,4928.68994140625,159400,48.946756938464986
2021-03-25,4904.06982421875,4950.759765625,4883.66015625,4926.35009765625,4926.35009765625,132900,48.946756938464986
2021-03-26,4953.9501953125,5050.830078125,4953.9501953125,5037.990234375,5037.990234375,145900,48.946756938464986
2021-03-29,5052.259765625,5086.64990234375,5010.39013671875,5046.8798828125,5046.8798828125,143400,48.946756938464986
2021-03-30,5043.10009765625,5106.0400390625,5032.7998046875,5094.72998046875,5094.72998046875,138600,48.946756938464986
2021-03-31,5085.9501953125,5085.9501953125,5015.60986328125,5048.35986328125,5048.35986328125,141300,46.16247394810946
2021-04-01,5059.93994140625,5115.43017578125,5056.8701171875,5110.77978515625,5110.77978515625,120300,50.26386514336746
2021-04-02,5129.85009765625,5169.830078125,5116.35009765625,5161.56005859375,5161.56005859375,127000,53.37568912461162
2021-04-06,5178.64013671875,5181.14990234375,5125.330078125,5140.33984375,5140.33984375,109800,51.913961066552446
2021-04-07,5141.66015625,5141.66015625,5065.18994140625,5103.740234375,5103.740234375,145800,49.40108575603808
2021-04-08,5078.259765625,5129.1298828125,5062.06982421875,5112.2099609375,5112.2099609375,141800,50.004197710870656
2021-04-09,5100.0400390625,5100.0400390625,5022.08984375,5035.33984375,5035.33984375,128400,44.786523825397545
2021-04-12,5026.97998046875,5045.60009765625,4933.009765625,4947.75,4947.75,152600,39.7028981009342
2021-04-13,4949.81005859375,4994.5400390625,4924.2001953125,4939.64013671875,4939.64013671875,132900,39.25856861026229
2021-04-14,4945.68994140625,4987.1201171875,4940.27001953125,4980.6298828125,4980.6298828125,120900,42.74622306602536
2021-04-15,4969.91015625,4969.91015625,4900.2998046875,4948.97021484375,4948.97021484375,108800,40.797724116347254
2021-04-16,4966.89990234375,4979.169921875,4917.9599609375,4966.18017578125,4966.18017578125,111200,42.336452611774924
2021-04-19,4966.41015625,5088.2099609375,4940.75,5087.02001953125,5087.02001953125,154800,51.80786442276365
2021-04-20,5065.77978515625,5119.85986328125,5058.919921875,5083.3701171875,5083.3701171875,136500,51.532536248955104
2021-04-21,5055.240234375,5110.56005859375,5047.990234375,5098.740234375,5098.740234375,124600,52.6731617392174
2021-04-22,5114.27978515625,5119.22021484375,5067.14013671875,5089.240234375,5089.240234375,121200,51.860774879583545
2021-04-23,5088.830078125,5149.97998046875,5086.490234375,5135.4501953125,5135.4501953125,122100,55.45932055389569
2021-04-26,5156.58984375,5181.10986328125,5072.9599609375,5077.240234375,5077.240234375,151400,50.35308977831209
2021-04-27,5076.64013671875,5095.97998046875,5042.60986328125,5090.52001953125,5090.52001953125,124000,51.45129120245087
